volume,change,circulating_supply,name,id,price,market_cap
"$13,229,060,820",-1.62%,"17,977,250",Bitcoin,0,$8000.94,"
$143,834,866,682
"
"$5,972,419,785",-1.63%,"
",Ethereum,1,$172.81,"
$18,670,244,719
"
"$981,096,810",1.07%,BTC,XRP,2,$0.255487,"
$11,017,059,478
"
"$15,860,867,980",0.84%,"
",Tether,3,$1.01,"
$4,159,383,354
"
"$1,105,328,848",-0.25%,"
",Bitcoin Cash,4,$222.24,"
$4,009,889,625
"
"$2,350,969,854",-2.99%,"108,039,687",Litecoin,5,$55.08,"
$3,492,549,777
"
"$1,182,262,532",-0.95%,"
",EOS,6,$2.95,"
$2,760,730,322
"
"$122,334,066",-1.75%,ETH,Binance Coin,7,$15.39,"
$2,393,738,244
"
"$194,781,492",0.51%,"
",Bitcoin SV,8,$82.70,"
$1,476,654,874
"
"$152,357,023",-0.27%,"
",Stellar,9,$0.058865,"
$1,184,231,799
"
"$37,450,836",-1.68%,"43,121,735,112",Cardano,10,$0.038942,"
$1,009,656,846
"
"$653,298,942",-0.64%,"
",TRON,11,$0.014903,"
$993,788,756
"
"$13,486,767",-6.39%,XRP,UNUS SED LEO,12,$0.972409,"
$971,921,522
"
"$67,841,068",-1.32%,"
",Monero,13,$55.58,"
$958,399,260
"
"$123,138,147",12.26%,"
",Chainlink,14,$2.20,"
$771,293,485
"
"$6,451,361",-2.71%,"4,108,044,456",IOTA,15,$0.269812,"
$749,949,672
"
"$71,299,320",-2.98%,"
",Huobi Token,16,$3.05,"
$749,137,345
"
"$218,899,294",1.05%,USDT,Dash,17,$70.21,"
$637,624,654
"
"$12,769,470",-3.14%,"
",Tezos,18,$0.878132,"
$579,895,227
"
"$374,195,848",-1.67%,"
",Ethereum Classic,19,$4.54,"
$517,748,955
"
"$226,374,089",-1.80%,"18,042,800",NEO,20,$7.22,"
$509,275,979
"
"$110,279,765",-3.45%,"
",Cosmos,21,$2.64,"
$502,828,928
"
"$154,189,470",1.13%,BCH,USD Coin,22,$1.01,"
$479,209,681
"
"$12,061,726",-1.68%,"
",Maker,23,$432.55,"
$432,551,300
"
"$5,914,828",-1.96%,"
",Crypto.com Coin,24,$0.034596,"
$362,862,507
"
"$10,101,889",0.84%,"63,410,692",NEM,25,$0.039793,"
$358,137,220
"
"$58,806,365",-1.83%,"
",Ontology,26,$0.608993,"
$324,929,194
"
"$39,445,794",0.23%,LTC,Dogecoin,27,$0.002332,"
$283,366,582
"
"$127,651,671",-2.31%,"
",Zcash,28,$36.15,"
$273,689,420
"
"$244,932,602",0.86%,"
",Paxos Standard,29,$1.01,"
$261,032,274
"
"$33,297,217",-1.77%,"934,763,222",Basic Attenti...,30,$0.188699,"
$252,621,510
"
"$414,998",-1.14%,"
",HedgeTrade,31,$0.775323,"
$223,598,531
"
"$265,234,782",0.63%,EOS,TrueUSD,32,$1.01,"
$194,434,185
"
"$35,997,615",-1.05%,"
",VeChain,33,$0.003380,"
$187,436,530
"
"$6,779,191",0.28%,"
",Decred,34,$17.01,"
$178,399,511
"
"$131,645,902",-1.26%,"155,536,713",Qtum,35,$1.70,"
$163,495,697
"
"$2,805,558",-2.03%,"
",V Systems,36,$0.079853,"
$145,430,314
"
"$10,874,323",0.35%,BNB,Ravencoin,37,$0.031121,"
$142,380,848
"
"$11,339,522",-1.20%,"
",Bitcoin Gold,38,$7.85,"
$137,490,108
"
"$8,440,609",-0.50%,"
",EDUCare,39,$0.161081,"
$136,918,570
"
"$164,224,979",-0.55%,"17,854,986",ZB,40,$0.294779,"
$136,567,621
"
"$11,134,260",-4.30%,"
",0x,41,$0.213918,"
$128,550,780
"
"$42,724,605",4.35%,BSV,OmiseGO,42,$0.874248,"
$122,609,259
"
"$6,494,119",-2.82%,"
",Holo,43,$0.000696,"
$112,061,897
"
"$50,092,231",-5.74%,"
",ABBC Coin,44,$0.197843,"
$109,666,113
"
"$2,322,440",-0.92%,"20,117,691,449",Lisk,45,$0.840575,"
$101,481,188
"
"$2,805,311",-2.06%,"
",Nano,46,$0.724418,"
$96,527,476
"
"$5,584,561",-1.54%,XLM,KuCoin Shares,47,$1.07,"
$94,245,316
 "
"$3,640,905",-0.19%,"
",DigiByte,48,$0.007394,"
$91,283,429
"
"$3,853,954",0.14%,"
",Augur,49,$8.23,"
$90,510,801
"
"$12,275,876",-4.53%,"25,927,070,538",Waves,50,$0.882506,"
$88,250,590
"
"$40,401,507",-4.27%,"
",Algorand,51,$0.215652,"
$87,436,064
"
"$59,313,132",-3.13%,ADA,BitTorrent,52,$0.000412,"
$87,425,530
"
"$2,352,965",-3.90%,"
",Bitcoin Diamond,53,$0.465890,"
$86,885,193
"
"$2,300,730",-1.60%,"
",Karatgold Coin,54,$0.022768,"
$85,437,887
"
"$8,337,394",-1.01%,"66,682,072,191",ICON,55,$0.168643,"
$83,763,141
"
"$19,750,988",0.81%,"
",Dai,56,$1.01,"
$82,460,998
"
"$798,370",-0.80%,TRX,MonaCoin,57,$1.18,"
$77,480,181
"
"$2,643,397",-2.70%,"
",BitShares,58,$0.028005,"
$76,864,108
"
"$2,086,302",-3.62%,"
",THETA,59,$0.087148,"
$75,862,507
"
"$4,590",-4.78%,"999,498,893",Bytecoin,60,$0.000406,"
$74,781,498
"
"$125,917",17.86%,"
",Centrality,61,$0.092040,"
$74,576,913
"
"$3,501,950",-2.40%,LEO,Quant,62,$6.02,"
$72,684,398
"
"$2,518,662",0.16%,"
",Komodo,63,$0.604015,"
$70,223,905
"
"$5,902,679",-2.06%,"
",HyperCash,64,$1.56,"
$69,011,859
"
